n,e_Biased First-Applicable_m_3,e_Biased First-Applicable_m_6,e_Biased First-Applicable_m_10,e_Biased First-Applicable_m_15,e_Biased Last-Applicable_m_3,e_Biased Last-Applicable_m_6,e_Biased Last-Applicable_m_10,e_Biased Last-Applicable_m_15,e_Unbiased Random_m_3,e_Unbiased Random_m_6,e_Unbiased Random_m_10,e_Unbiased Random_m_15,e_No example_m_3,e_No example_m_6,e_No example_m_10,e_No example_m_15
10,0.0,0.5,nan,nan,0.67,0.67,nan,nan,0.33,0.67,nan,nan,0.67,0.83,nan,nan
25,0.0,0.33,0.4,0.53,0.0,0.17,0.4,0.47,0.0,0.33,0.4,0.8,0.33,0.33,0.5,0.6
50,0.33,0.0,0.1,0.27,0.0,0.0,0.4,0.33,0.0,0.33,0.1,0.4,0.0,0.17,0.3,0.27
75,0.0,0.33,0.1,0.2,0.0,0.17,0.2,0.2,0.0,0.17,0.1,0.27,0.0,0.0,0.2,0.53
100,0.0,0.17,0.1,0.2,0.0,0.0,0.2,0.27,0.0,0.0,0.2,0.2,0.0,0.17,0.2,0.13
