,Result,Result FKLG,Result Dale Chall
no_details,10.0,7.715906315562664,8.203269998185508
few_details,10.0,7.087149655813745,8.79534221679765
some_details,10.0,6.570656000542512,8.682257124625872
very_detailed,0.0,10.840488316015783,11.566221201280081
