n,e_Biased First-Applicable_m_3,e_Biased Last-Applicable_m_3,e_Unbiased Random_m_3,e_No example_m_3,e_ALL_m_3,e_Biased First-Applicable_m_6,e_Biased Last-Applicable_m_6,e_Unbiased Random_m_6,e_No example_m_6,e_ALL_m_6,e_Biased First-Applicable_m_10,e_Biased Last-Applicable_m_10,e_Unbiased Random_m_10,e_No example_m_10,e_Biased First-Applicable_m_15,e_Biased Last-Applicable_m_15,e_Unbiased Random_m_15,e_No example_m_15,e_ALL_m_10,e_ALL_m_15
10,90669404668,92614187938,110225548924,91803228145,97836380510.0,98701347323,100881697413,103830443781,80018058337,101137829505.66667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,89025131113,75427223324,72400037015,49386878948,78950797150.66667,104514229588,87237196425,88086809804,89610357230,93279411939.0,113832928269.0,110111988896.0,91400953118.0,97487533157.0,103072220825.0,102107195515.0,104074612656.0,102935135748.0,105115290094.33333,103084676332.0
50,66310544880,88626976310,102513696655,58999758049,85817072615.0,62762410191,86847267731,70024156658,80629333615,73211278193.33333,81964000611.0,106094636790.0,77772676437.0,90594225540.0,97770257558.0,98842880979.0,114035361342.0,95105269909.0,88610437946.0,103549499959.66667
75,82296702955,85635693312,82592401336,49062500040,83508265867.66667,85402195032,87394274199,66629609582,64811555749,79808692937.66667,102359319978.0,106138828801.0,111527489084.0,102385643389.0,103475421747.0,86655671252.0,99786736289.0,117995870147.0,106675212621.0,96639276429.33333
100,83258702317,98407677314,66670331242,60744289727,82778903624.33333,103253461047,76822399972,106796874982,86872129604,95624245333.66667,88082836246.0,90027587585.0,83424598509.0,85486295987.0,101530418274.0,109351945416.0,101886654011.0,102749688857.0,87178340780.0,104256339233.66667
