m,e_Biased First-Applicable_n_10,e_Biased Last-Applicable_n_10,e_Unbiased Random_n_10,e_No example_n_10,e_ALL_n_10,e_Biased First-Applicable_n_25,e_Biased Last-Applicable_n_25,e_Unbiased Random_n_25,e_No example_n_25,e_ALL_n_25,e_Biased First-Applicable_n_50,e_Biased Last-Applicable_n_50,e_Unbiased Random_n_50,e_No example_n_50,e_ALL_n_50,e_Biased First-Applicable_n_75,e_Biased Last-Applicable_n_75,e_Unbiased Random_n_75,e_No example_n_75,e_ALL_n_75,e_Biased First-Applicable_n_100,e_Biased Last-Applicable_n_100,e_Unbiased Random_n_100,e_No example_n_100,e_ALL_n_100
3,90669404668.0,92614187938.0,110225548924.0,91803228145.0,97836380510.0,89025131113,75427223324,72400037015,49386878948,78950797150.66667,66310544880,88626976310,102513696655,58999758049,85817072615.0,82296702955,85635693312,82592401336,49062500040,83508265867.66667,83258702317,98407677314,66670331242,60744289727,82778903624.33333
6,98701347323.0,100881697413.0,103830443781.0,80018058337.0,101137829505.66667,104514229588,87237196425,88086809804,89610357230,93279411939.0,62762410191,86847267731,70024156658,80629333615,73211278193.33333,85402195032,87394274199,66629609582,64811555749,79808692937.66667,103253461047,76822399972,106796874982,86872129604,95624245333.66667
10,nan,nan,nan,nan,nan,113832928269,110111988896,91400953118,97487533157,105115290094.33333,81964000611,106094636790,77772676437,90594225540,88610437946.0,102359319978,106138828801,111527489084,102385643389,106675212621.0,88082836246,90027587585,83424598509,85486295987,87178340780.0
15,nan,nan,nan,nan,nan,103072220825,102107195515,104074612656,102935135748,103084676332.0,97770257558,98842880979,114035361342,95105269909,103549499959.66667,103475421747,86655671252,99786736289,117995870147,96639276429.33333,101530418274,109351945416,101886654011,102749688857,104256339233.66667
