n,e_Biased First-Applicable_m_3,e_Biased Last-Applicable_m_3,e_Unbiased Random_m_3,e_No example_m_3,e_ALL_m_3,e_Biased First-Applicable_m_6,e_Biased Last-Applicable_m_6,e_Unbiased Random_m_6,e_No example_m_6,e_ALL_m_6,e_Biased First-Applicable_m_10,e_Biased Last-Applicable_m_10,e_Unbiased Random_m_10,e_No example_m_10,e_Biased First-Applicable_m_15,e_Biased Last-Applicable_m_15,e_Unbiased Random_m_15,e_No example_m_15,e_ALL_m_10,e_ALL_m_15
10,4912836867,4491802949,4532062666,4049974423,4645567494.0,6519120735,6499148499,6567933013,6101628083,6528734082.333333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,5009374192,4904047497,4867701564,4433363646,4927041084.333333,6933793864,6970151596,6986558930,6338080564,6963501463.333333,9868182667.0,9599132273.0,9812024052.0,9385769329.0,13568805012.0,13504442554.0,13400496992.0,12846579813.0,9759779664.0,13491248186.0
50,5974834240,5903043433,5911412131,5321884720,5929763268.0,8009918893,8029428385,7859544851,7646352078,7966297376.333333,11024304129.0,10878189115.0,10994176528.0,10686915555.0,14552971937.0,14609225929.0,14513752991.0,14459373519.0,10965556590.666666,14558650285.666666
75,6733527992,6789524150,6683911406,6359544470,6735654516.0,8873169927,9085975642,8999350947,8605648595,8986165505.333334,11790417755.0,11792730844.0,11994836708.0,11492862637.0,15664385454.0,15599284231.0,15758280555.0,15385880050.0,11859328435.666666,15673983413.333334
100,7696186578,7535113199,7546175626,7074959276,7592491801.0,9743833306,9836413073,9744636815,9340484449,9774961064.666666,12913116666.0,12887598918.0,12597530524.0,12642514143.0,16829674744.0,16897245760.0,16661844217.0,16303943161.0,12799415369.333334,16796254907.0
