n,e_Biased First-Applicable_m_3,e_Biased Last-Applicable_m_3,e_Unbiased Random_m_3,e_No example_m_3,e_ALL_m_3,e_Biased First-Applicable_m_6,e_Biased Last-Applicable_m_6,e_Unbiased Random_m_6,e_No example_m_6,e_ALL_m_6,e_Biased First-Applicable_m_10,e_Biased Last-Applicable_m_10,e_Unbiased Random_m_10,e_No example_m_10,e_Biased First-Applicable_m_15,e_Biased Last-Applicable_m_15,e_Unbiased Random_m_15,e_No example_m_15,e_ALL_m_10,e_ALL_m_15
10,17998262836,16465650304,16119160482,17260598976,16861024540.666666,28013459558,28627280162,25225609525,27136203883,27288783081.666668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,20863509766,20135234473,21322748444,19146765781,20773830894.333332,40044037338,33698342261,37227199851,53682535625,36989859816.666664,77683810383.0,61186506173.0,56798544517.0,55813681172.0,88709150027.0,72486575529.0,92188448780.0,91493753522.0,65222953691.0,84461391445.33333
50,26268982200,25158779516,26582201871,24000760798,26003321195.666668,44433975988,40742905970,54002293973,41493049571,46393058643.666664,69344891319.0,79450456709.0,68698533324.0,61816491189.0,88317109318.0,85045416425.0,93631850340.0,97695633578.0,72497960450.66667,88998125361.0
75,26088587488,27743165188,26959257989,32502650330,26930336888.333332,49796248596,37837427686,62120977950,50654430383,49918218077.333336,95279863552.0,66408255140.0,70475896641.0,61018007196.0,96054054830.0,91436047670.0,110184508717.0,97882107852.0,77388005111.0,99224870405.66667
100,30898933706,29000897599,33464877217,27554351703,31121569507.333332,55780843315,51118113291,55147599560,53498355823,54015518722.0,75708515650.0,78776154532.0,72953187008.0,81447550928.0,100000018204.0,98705253898.0,108235725795.0,96493265934.0,75812619063.33333,102313665965.66667
