n,e_Biased First-Applicable_m_3,e_Biased Last-Applicable_m_3,e_Unbiased Random_m_3,e_No example_m_3,e_ALL_m_3,e_Biased First-Applicable_m_6,e_Biased Last-Applicable_m_6,e_Unbiased Random_m_6,e_No example_m_6,e_ALL_m_6,e_Biased First-Applicable_m_10,e_Biased Last-Applicable_m_10,e_Unbiased Random_m_10,e_No example_m_10,e_Biased First-Applicable_m_15,e_Biased Last-Applicable_m_15,e_Unbiased Random_m_15,e_No example_m_15,e_ALL_m_10,e_ALL_m_15
10,15195439956,15172537022,15305884674,14101265451,15224620550.666666,22379673250,22626029549,22660649825,21438826061,22555450874.666668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,16348450798,16123751028,16406291069,15346120941,16292830965.0,23839218316,23091565431,22695174616,23552996027,23208652787.666668,33345871278.0,33940291002.0,32495156172.0,33540499176.0,46835108121.0,47162547553.0,47148394859.0,46041814575.0,33260439484.0,47048683511.0
50,16545488419,18329152318,18606830406,17753658087,17827157047.666668,25399383325,25849591128,24515043776,25332811679,25254672743.0,37189584172.0,35449642317.0,33852173561.0,35542811199.0,50793288707.0,49021053052.0,49923779555.0,49630538914.0,35497133350.0,49912707104.666664
75,19664904938,19224691823,19272418852,18647084403,19387338537.666668,27363308900,28805426567,25886086864,26559850310,27351607443.666668,39305042810.0,37615245884.0,39279414433.0,38530967275.0,51087067890.0,50648347710.0,53818595278.0,51372327202.0,38733234375.666664,51851336959.333336
100,21267535037,20793972916,21060439679,20908308586,21040649210.666668,28834096571,28999090007,29768600091,28854468060,29200595556.333332,40124041727.0,40686487663.0,40048949682.0,38621628293.0,55957188338.0,54676182286.0,53486012374.0,52310546654.0,40286493024.0,54706460999.333336
