n,e_Biased First-Applicable_m_3,e_Biased Last-Applicable_m_3,e_Unbiased Random_m_3,e_No example_m_3,e_ALL_m_3,e_Biased First-Applicable_m_6,e_Biased Last-Applicable_m_6,e_Unbiased Random_m_6,e_No example_m_6,e_ALL_m_6,e_Biased First-Applicable_m_10,e_Biased Last-Applicable_m_10,e_Unbiased Random_m_10,e_No example_m_10,e_Biased First-Applicable_m_15,e_Biased Last-Applicable_m_15,e_Unbiased Random_m_15,e_No example_m_15,e_ALL_m_10,e_ALL_m_15
10,7597719978.0,7586268511.0,7652942337.0,7050632725.5,7612310275.333333,11189836625.0,11313014774.5,11330324912.5,10719413030.5,11277725437.333334,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,8174225399.0,8061875514.0,8203145534.5,7673060470.5,8146415482.5,11919609158.0,11545782715.5,11347587308.0,11776498013.5,11604326393.833334,16672935639.0,16970145501.0,16247578086.0,16770249588.0,23417554060.5,23581273776.5,23574197429.5,23020907287.5,16630219742.0,23524341755.5
50,8272744209.5,9164576159.0,9303415203.0,8876829043.5,8913578523.833334,12699691662.5,12924795564.0,12257521888.0,12666405839.5,12627336371.5,18594792086.0,17724821158.5,16926086780.5,17771405599.5,25396644353.5,24510526526.0,24961889777.5,24815269457.0,17748566675.0,24956353552.333332
75,9832452469.0,9612345911.5,9636209426.0,9323542201.5,9693669268.833334,13681654450.0,14402713283.5,12943043432.0,13279925155.0,13675803721.833334,19652521405.0,18807622942.0,19639707216.5,19265483637.5,25543533945.0,25324173855.0,26909297639.0,25686163601.0,19366617187.833332,25925668479.666668
100,10633767518.5,10396986458.0,10530219839.5,10454154293.0,10520324605.333334,14417048285.5,14499545003.5,14884300045.5,14427234030.0,14600297778.166666,20062020863.5,20343243831.5,20024474841.0,19310814146.5,27978594169.0,27338091143.0,26743006187.0,26155273327.0,20143246512.0,27353230499.666668
