m,e_Biased First-Applicable_n_10,e_Biased Last-Applicable_n_10,e_Unbiased Random_n_10,e_No example_n_10,e_ALL_n_10,e_Biased First-Applicable_n_25,e_Biased Last-Applicable_n_25,e_Unbiased Random_n_25,e_No example_n_25,e_ALL_n_25,e_Biased First-Applicable_n_50,e_Biased Last-Applicable_n_50,e_Unbiased Random_n_50,e_No example_n_50,e_ALL_n_50,e_Biased First-Applicable_n_75,e_Biased Last-Applicable_n_75,e_Unbiased Random_n_75,e_No example_n_75,e_ALL_n_75,e_Biased First-Applicable_n_100,e_Biased Last-Applicable_n_100,e_Unbiased Random_n_100,e_No example_n_100,e_ALL_n_100
3,15195439956.0,15172537022.0,15305884674.0,14101265451.0,15224620550.666666,16348450798,16123751028,16406291069,15346120941,16292830965.0,16545488419,18329152318,18606830406,17753658087,17827157047.666668,19664904938,19224691823,19272418852,18647084403,19387338537.666668,21267535037,20793972916,21060439679,20908308586,21040649210.666668
6,22379673250.0,22626029549.0,22660649825.0,21438826061.0,22555450874.666668,23839218316,23091565431,22695174616,23552996027,23208652787.666668,25399383325,25849591128,24515043776,25332811679,25254672743.0,27363308900,28805426567,25886086864,26559850310,27351607443.666668,28834096571,28999090007,29768600091,28854468060,29200595556.333332
10,nan,nan,nan,nan,nan,33345871278,33940291002,32495156172,33540499176,33260439484.0,37189584172,35449642317,33852173561,35542811199,35497133350.0,39305042810,37615245884,39279414433,38530967275,38733234375.666664,40124041727,40686487663,40048949682,38621628293,40286493024.0
15,nan,nan,nan,nan,nan,46835108121,47162547553,47148394859,46041814575,47048683511.0,50793288707,49021053052,49923779555,49630538914,49912707104.666664,51087067890,50648347710,53818595278,51372327202,51851336959.333336,55957188338,54676182286,53486012374,52310546654,54706460999.333336
