m,e_Biased First-Applicable_n_10,e_Biased Last-Applicable_n_10,e_Unbiased Random_n_10,e_No example_n_10,e_ALL_n_10,e_Biased First-Applicable_n_25,e_Biased Last-Applicable_n_25,e_Unbiased Random_n_25,e_No example_n_25,e_ALL_n_25,e_Biased First-Applicable_n_50,e_Biased Last-Applicable_n_50,e_Unbiased Random_n_50,e_No example_n_50,e_ALL_n_50,e_Biased First-Applicable_n_75,e_Biased Last-Applicable_n_75,e_Unbiased Random_n_75,e_No example_n_75,e_ALL_n_75,e_Biased First-Applicable_n_100,e_Biased Last-Applicable_n_100,e_Unbiased Random_n_100,e_No example_n_100,e_ALL_n_100
3,17998262836.0,16465650304.0,16119160482.0,17260598976.0,16861024540.666666,20863509766,20135234473,21322748444,19146765781,20773830894.333332,26268982200,25158779516,26582201871,24000760798,26003321195.666668,26088587488,27743165188,26959257989,32502650330,26930336888.333332,30898933706,29000897599,33464877217,27554351703,31121569507.333332
6,28013459558.0,28627280162.0,25225609525.0,27136203883.0,27288783081.666668,40044037338,33698342261,37227199851,53682535625,36989859816.666664,44433975988,40742905970,54002293973,41493049571,46393058643.666664,49796248596,37837427686,62120977950,50654430383,49918218077.333336,55780843315,51118113291,55147599560,53498355823,54015518722.0
10,nan,nan,nan,nan,nan,77683810383,61186506173,56798544517,55813681172,65222953691.0,69344891319,79450456709,68698533324,61816491189,72497960450.66667,95279863552,66408255140,70475896641,61018007196,77388005111.0,75708515650,78776154532,72953187008,81447550928,75812619063.33333
15,nan,nan,nan,nan,nan,88709150027,72486575529,92188448780,91493753522,84461391445.33333,88317109318,85045416425,93631850340,97695633578,88998125361.0,96054054830,91436047670,110184508717,97882107852,99224870405.66667,100000018204,98705253898,108235725795,96493265934,102313665965.66667
