m,e_Biased First-Applicable_n_10,e_Biased Last-Applicable_n_10,e_Unbiased Random_n_10,e_No example_n_10,e_ALL_n_10,e_Biased First-Applicable_n_25,e_Biased Last-Applicable_n_25,e_Unbiased Random_n_25,e_No example_n_25,e_ALL_n_25,e_Biased First-Applicable_n_50,e_Biased Last-Applicable_n_50,e_Unbiased Random_n_50,e_No example_n_50,e_ALL_n_50,e_Biased First-Applicable_n_75,e_Biased Last-Applicable_n_75,e_Unbiased Random_n_75,e_No example_n_75,e_ALL_n_75,e_Biased First-Applicable_n_100,e_Biased Last-Applicable_n_100,e_Unbiased Random_n_100,e_No example_n_100,e_ALL_n_100
3,4912836867.0,4491802949.0,4532062666.0,4049974423.0,4645567494.0,5009374192,4904047497,4867701564,4433363646,4927041084.333333,5974834240,5903043433,5911412131,5321884720,5929763268.0,6733527992,6789524150,6683911406,6359544470,6735654516.0,7696186578,7535113199,7546175626,7074959276,7592491801.0
6,6519120735.0,6499148499.0,6567933013.0,6101628083.0,6528734082.333333,6933793864,6970151596,6986558930,6338080564,6963501463.333333,8009918893,8029428385,7859544851,7646352078,7966297376.333333,8873169927,9085975642,8999350947,8605648595,8986165505.333334,9743833306,9836413073,9744636815,9340484449,9774961064.666666
10,nan,nan,nan,nan,nan,9868182667,9599132273,9812024052,9385769329,9759779664.0,11024304129,10878189115,10994176528,10686915555,10965556590.666666,11790417755,11792730844,11994836708,11492862637,11859328435.666666,12913116666,12887598918,12597530524,12642514143,12799415369.333334
15,nan,nan,nan,nan,nan,13568805012,13504442554,13400496992,12846579813,13491248186.0,14552971937,14609225929,14513752991,14459373519,14558650285.666666,15664385454,15599284231,15758280555,15385880050,15673983413.333334,16829674744,16897245760,16661844217,16303943161,16796254907.0
