n,e_Biased First-Applicable_m_3,e_Biased Last-Applicable_m_3,e_Unbiased Random_m_3,e_No example_m_3,e_ALL_m_3,e_Biased First-Applicable_m_6,e_Biased Last-Applicable_m_6,e_Unbiased Random_m_6,e_No example_m_6,e_ALL_m_6,e_Biased First-Applicable_m_10,e_Biased Last-Applicable_m_10,e_Unbiased Random_m_10,e_No example_m_10,e_Biased First-Applicable_m_15,e_Biased Last-Applicable_m_15,e_Unbiased Random_m_15,e_No example_m_15,e_ALL_m_10,e_ALL_m_15
10,45334702334.0,46307093969.0,55112774462.0,45901614072.5,48918190255.0,49350673661.5,50440848706.5,51915221890.5,40009029168.5,50568914752.833336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,44512565556.5,37713611662.0,36200018507.5,24693439474.0,39475398575.333336,52257114794.0,43618598212.5,44043404902.0,44805178615.0,46639705969.5,56916464134.5,55055994448.0,45700476559.0,48743766578.5,51536110412.5,51053597757.5,52037306328.0,51467567874.0,52557645047.166664,51542338166.0
50,33155272440.0,44313488155.0,51256848327.5,29499879024.5,42908536307.5,31381205095.5,43423633865.5,35012078329.0,40314666807.5,36605639096.666664,40982000305.5,53047318395.0,38886338218.5,45297112770.0,48885128779.0,49421440489.5,57017680671.0,47552634954.5,44305218973.0,51774749979.833336
75,41148351477.5,42817846656.0,41296200668.0,24531250020.0,41754132933.833336,42701097516.0,43697137099.5,33314804791.0,32405777874.5,39904346468.833336,51179659989.0,53069414400.5,55763744542.0,51192821694.5,51737710873.5,43327835626.0,49893368144.5,58997935073.5,53337606310.5,48319638214.666664
100,41629351158.5,49203838657.0,33335165621.0,30372144863.5,41389451812.166664,51626730523.5,38411199986.0,53398437491.0,43436064802.0,47812122666.833336,44041418123.0,45013793792.5,41712299254.5,42743147993.5,50765209137.0,54675972708.0,50943327005.5,51374844428.5,43589170390.0,52128169616.833336
